"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03424V04122","Local Authority","C03122V03774","Type of Carriageway","UNIT","VALUE"
"NRA03","National Route Length","2017","2017","14","Cork","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","14","Cork","05","Dual carriageway","Number","63"
"NRA03","National Route Length","2017","2017","15","Kerry","-","All Carriage ways","Number","424"
"NRA03","National Route Length","2017","2017","15","Kerry","01","Motorway","Number","0"
"NRA03","National Route Length","2017","2017","15","Kerry","03","Single","Number","413"
"NRA03","National Route Length","2017","2017","15","Kerry","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","15","Kerry","05","Dual carriageway","Number","11"
"NRA03","National Route Length","2017","2017","16","Limerick","-","All Carriage ways","Number","193"
"NRA03","National Route Length","2017","2017","16","Limerick","01","Motorway","Number","27"
"NRA03","National Route Length","2017","2017","16","Limerick","03","Single","Number","156"
"NRA03","National Route Length","2017","2017","16","Limerick","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","16","Limerick","05","Dual carriageway","Number","9"
"NRA03","National Route Length","2017","2017","17","Tipperary","-","All Carriage ways","Number","335"
"NRA03","National Route Length","2017","2017","17","Tipperary","01","Motorway","Number","122"
"NRA03","National Route Length","2017","2017","17","Tipperary","03","Single","Number","210"
"NRA03","National Route Length","2017","2017","17","Tipperary","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","17","Tipperary","05","Dual carriageway","Number","3"
"NRA03","National Route Length","2017","2017","18","Waterford","-","All Carriage ways","Number","107"
"NRA03","National Route Length","2017","2017","18","Waterford","01","Motorway","Number","0"
"NRA03","National Route Length","2017","2017","18","Waterford","03","Single","Number","97"
"NRA03","National Route Length","2017","2017","18","Waterford","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","18","Waterford","05","Dual carriageway","Number","10"
"NRA03","National Route Length","2017","2017","19","Galway","-","All Carriage ways","Number","454"
"NRA03","National Route Length","2017","2017","19","Galway","01","Motorway","Number","62"
"NRA03","National Route Length","2017","2017","19","Galway","03","Single","Number","380"
"NRA03","National Route Length","2017","2017","19","Galway","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","19","Galway","05","Dual carriageway","Number","12"
"NRA03","National Route Length","2017","2017","20","Leitrim","-","All Carriage ways","Number","56"
"NRA03","National Route Length","2017","2017","20","Leitrim","01","Motorway","Number","0"
"NRA03","National Route Length","2017","2017","20","Leitrim","03","Single","Number","49"
"NRA03","National Route Length","2017","2017","20","Leitrim","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","20","Leitrim","05","Dual carriageway","Number","7"
"NRA03","National Route Length","2017","2017","21","Mayo","-","All Carriage ways","Number","397"
"NRA03","National Route Length","2017","2017","21","Mayo","01","Motorway","Number","0"
"NRA03","National Route Length","2017","2017","21","Mayo","03","Single","Number","397"
"NRA03","National Route Length","2017","2017","21","Mayo","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","21","Mayo","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2017","2017","22","Roscommon","-","All Carriage ways","Number","247"
"NRA03","National Route Length","2017","2017","22","Roscommon","01","Motorway","Number","21"
"NRA03","National Route Length","2017","2017","22","Roscommon","03","Single","Number","225"
"NRA03","National Route Length","2017","2017","22","Roscommon","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","22","Roscommon","05","Dual carriageway","Number","1"
"NRA03","National Route Length","2017","2017","23","Sligo","-","All Carriage ways","Number","153"
"NRA03","National Route Length","2017","2017","23","Sligo","01","Motorway","Number","0"
"NRA03","National Route Length","2017","2017","23","Sligo","03","Single","Number","141"
"NRA03","National Route Length","2017","2017","23","Sligo","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","23","Sligo","05","Dual carriageway","Number","13"
"NRA03","National Route Length","2017","2017","24","Cavan","-","All Carriage ways","Number","123"
"NRA03","National Route Length","2017","2017","24","Cavan","01","Motorway","Number","0"
"NRA03","National Route Length","2017","2017","24","Cavan","03","Single","Number","123"
"NRA03","National Route Length","2017","2017","24","Cavan","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","24","Cavan","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2017","2017","25","Donegal","-","All Carriage ways","Number","304"
"NRA03","National Route Length","2017","2017","25","Donegal","01","Motorway","Number","0"
"NRA03","National Route Length","2017","2017","25","Donegal","03","Single","Number","298"
"NRA03","National Route Length","2017","2017","25","Donegal","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","25","Donegal","05","Dual carriageway","Number","6"
"NRA03","National Route Length","2017","2017","26","Monaghan","-","All Carriage ways","Number","104"
"NRA03","National Route Length","2017","2017","26","Monaghan","01","Motorway","Number","0"
"NRA03","National Route Length","2017","2017","26","Monaghan","03","Single","Number","88"
"NRA03","National Route Length","2017","2017","26","Monaghan","04","Two plus one","Number",""
"NRA03","National Route Length","2017","2017","26","Monaghan","05","Dual carriageway","Number","15"
"NRA03","National Route Length","2018","2018","-","All licensing authorities","-","All Carriage ways","Number","5306"
"NRA03","National Route Length","2018","2018","-","All licensing authorities","01","Motorway","Number","916"
"NRA03","National Route Length","2018","2018","-","All licensing authorities","03","Single","Number","4096"
"NRA03","National Route Length","2018","2018","-","All licensing authorities","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","-","All licensing authorities","05","Dual carriageway","Number","294"
"NRA03","National Route Length","2018","2018","01","Carlow","-","All Carriage ways","Number","78"
"NRA03","National Route Length","2018","2018","01","Carlow","01","Motorway","Number","24"
"NRA03","National Route Length","2018","2018","01","Carlow","03","Single","Number","54"
"NRA03","National Route Length","2018","2018","01","Carlow","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","01","Carlow","05","Dual carriageway","Number",""
"NRA03","National Route Length","2018","2018","02","Dublin","-","All Carriage ways","Number","139"
"NRA03","National Route Length","2018","2018","02","Dublin","01","Motorway","Number","82"
"NRA03","National Route Length","2018","2018","02","Dublin","03","Single","Number","16"
"NRA03","National Route Length","2018","2018","02","Dublin","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","02","Dublin","05","Dual carriageway","Number","41"
"NRA03","National Route Length","2018","2018","03","Kildare","-","All Carriage ways","Number","134"
"NRA03","National Route Length","2018","2018","03","Kildare","01","Motorway","Number","108"
"NRA03","National Route Length","2018","2018","03","Kildare","03","Single","Number","18"
"NRA03","National Route Length","2018","2018","03","Kildare","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","03","Kildare","05","Dual carriageway","Number","8"
"NRA03","National Route Length","2018","2018","04","Kilkenny","-","All Carriage ways","Number","197"
"NRA03","National Route Length","2018","2018","04","Kilkenny","01","Motorway","Number","68"
"NRA03","National Route Length","2018","2018","04","Kilkenny","03","Single","Number","112"
"NRA03","National Route Length","2018","2018","04","Kilkenny","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","04","Kilkenny","05","Dual carriageway","Number","17"
"NRA03","National Route Length","2018","2018","05","Laois","-","All Carriage ways","Number","168"
"NRA03","National Route Length","2018","2018","05","Laois","01","Motorway","Number","67"
"NRA03","National Route Length","2018","2018","05","Laois","03","Single","Number","102"
"NRA03","National Route Length","2018","2018","05","Laois","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","05","Laois","05","Dual carriageway","Number",""
"NRA03","National Route Length","2018","2018","06","Longford","-","All Carriage ways","Number","97"
"NRA03","National Route Length","2018","2018","06","Longford","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","06","Longford","03","Single","Number","97"
"NRA03","National Route Length","2018","2018","06","Longford","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","06","Longford","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2018","2018","07","Louth","-","All Carriage ways","Number","98"
"NRA03","National Route Length","2018","2018","07","Louth","01","Motorway","Number","40"
"NRA03","National Route Length","2018","2018","07","Louth","03","Single","Number","49"
"NRA03","National Route Length","2018","2018","07","Louth","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","07","Louth","05","Dual carriageway","Number","9"
"NRA03","National Route Length","2018","2018","08","Meath","-","All Carriage ways","Number","204"
"NRA03","National Route Length","2018","2018","08","Meath","01","Motorway","Number","88"
"NRA03","National Route Length","2018","2018","08","Meath","03","Single","Number","104"
"NRA03","National Route Length","2018","2018","08","Meath","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","08","Meath","05","Dual carriageway","Number","12"
"NRA03","National Route Length","2018","2018","09","Offaly","-","All Carriage ways","Number","116"
"NRA03","National Route Length","2018","2018","09","Offaly","01","Motorway","Number","15"
"NRA03","National Route Length","2018","2018","09","Offaly","03","Single","Number","101"
"NRA03","National Route Length","2018","2018","09","Offaly","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","09","Offaly","05","Dual carriageway","Number",""
"NRA03","National Route Length","2018","2018","10","Westmeath","-","All Carriage ways","Number","175"
"NRA03","National Route Length","2018","2018","10","Westmeath","01","Motorway","Number","56"
"NRA03","National Route Length","2018","2018","10","Westmeath","03","Single","Number","102"
"NRA03","National Route Length","2018","2018","10","Westmeath","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","10","Westmeath","05","Dual carriageway","Number","18"
"NRA03","National Route Length","2018","2018","11","Wexford","-","All Carriage ways","Number","164"
"NRA03","National Route Length","2018","2018","11","Wexford","01","Motorway","Number","22"
"NRA03","National Route Length","2018","2018","11","Wexford","03","Single","Number","142"
"NRA03","National Route Length","2018","2018","11","Wexford","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","11","Wexford","05","Dual carriageway","Number",""
"NRA03","National Route Length","2018","2018","12","Wicklow","-","All Carriage ways","Number","92"
"NRA03","National Route Length","2018","2018","12","Wicklow","01","Motorway","Number","35"
"NRA03","National Route Length","2018","2018","12","Wicklow","03","Single","Number","38"
"NRA03","National Route Length","2018","2018","12","Wicklow","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","12","Wicklow","05","Dual carriageway","Number","18"
"NRA03","National Route Length","2018","2018","13","Clare","-","All Carriage ways","Number","233"
"NRA03","National Route Length","2018","2018","13","Clare","01","Motorway","Number","32"
"NRA03","National Route Length","2018","2018","13","Clare","03","Single","Number","182"
"NRA03","National Route Length","2018","2018","13","Clare","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","13","Clare","05","Dual carriageway","Number","20"
"NRA03","National Route Length","2018","2018","14","Cork","-","All Carriage ways","Number","514"
"NRA03","National Route Length","2018","2018","14","Cork","01","Motorway","Number","49"
"NRA03","National Route Length","2018","2018","14","Cork","03","Single","Number","403"
"NRA03","National Route Length","2018","2018","14","Cork","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","14","Cork","05","Dual carriageway","Number","63"
"NRA03","National Route Length","2018","2018","15","Kerry","-","All Carriage ways","Number","424"
"NRA03","National Route Length","2018","2018","15","Kerry","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","15","Kerry","03","Single","Number","413"
"NRA03","National Route Length","2018","2018","15","Kerry","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","15","Kerry","05","Dual carriageway","Number","11"
"NRA03","National Route Length","2018","2018","16","Limerick","-","All Carriage ways","Number","193"
"NRA03","National Route Length","2018","2018","16","Limerick","01","Motorway","Number","27"
"NRA03","National Route Length","2018","2018","16","Limerick","03","Single","Number","156"
"NRA03","National Route Length","2018","2018","16","Limerick","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","16","Limerick","05","Dual carriageway","Number","9"
"NRA03","National Route Length","2018","2018","17","Tipperary","-","All Carriage ways","Number","335"
"NRA03","National Route Length","2018","2018","17","Tipperary","01","Motorway","Number","122"
"NRA03","National Route Length","2018","2018","17","Tipperary","03","Single","Number","210"
"NRA03","National Route Length","2018","2018","17","Tipperary","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","17","Tipperary","05","Dual carriageway","Number","3"
"NRA03","National Route Length","2018","2018","18","Waterford","-","All Carriage ways","Number","107"
"NRA03","National Route Length","2018","2018","18","Waterford","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","18","Waterford","03","Single","Number","97"
"NRA03","National Route Length","2018","2018","18","Waterford","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","18","Waterford","05","Dual carriageway","Number","10"
"NRA03","National Route Length","2018","2018","19","Galway","-","All Carriage ways","Number","454"
"NRA03","National Route Length","2018","2018","19","Galway","01","Motorway","Number","62"
"NRA03","National Route Length","2018","2018","19","Galway","03","Single","Number","380"
"NRA03","National Route Length","2018","2018","19","Galway","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","19","Galway","05","Dual carriageway","Number","12"
"NRA03","National Route Length","2018","2018","20","Leitrim","-","All Carriage ways","Number","56"
"NRA03","National Route Length","2018","2018","20","Leitrim","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","20","Leitrim","03","Single","Number","49"
"NRA03","National Route Length","2018","2018","20","Leitrim","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","20","Leitrim","05","Dual carriageway","Number","7"
"NRA03","National Route Length","2018","2018","21","Mayo","-","All Carriage ways","Number","397"
"NRA03","National Route Length","2018","2018","21","Mayo","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","21","Mayo","03","Single","Number","397"
"NRA03","National Route Length","2018","2018","21","Mayo","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","21","Mayo","05","Dual carriageway","Number",""
"NRA03","National Route Length","2018","2018","22","Roscommon","-","All Carriage ways","Number","247"
"NRA03","National Route Length","2018","2018","22","Roscommon","01","Motorway","Number","21"
"NRA03","National Route Length","2018","2018","22","Roscommon","03","Single","Number","225"
"NRA03","National Route Length","2018","2018","22","Roscommon","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","22","Roscommon","05","Dual carriageway","Number","1"
"NRA03","National Route Length","2018","2018","23","Sligo","-","All Carriage ways","Number","153"
"NRA03","National Route Length","2018","2018","23","Sligo","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","23","Sligo","03","Single","Number","141"
"NRA03","National Route Length","2018","2018","23","Sligo","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","23","Sligo","05","Dual carriageway","Number","13"
"NRA03","National Route Length","2018","2018","24","Cavan","-","All Carriage ways","Number","123"
"NRA03","National Route Length","2018","2018","24","Cavan","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","24","Cavan","03","Single","Number","123"
"NRA03","National Route Length","2018","2018","24","Cavan","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","24","Cavan","05","Dual carriageway","Number",""
"NRA03","National Route Length","2018","2018","25","Donegal","-","All Carriage ways","Number","304"
"NRA03","National Route Length","2018","2018","25","Donegal","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","25","Donegal","03","Single","Number","298"
"NRA03","National Route Length","2018","2018","25","Donegal","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","25","Donegal","05","Dual carriageway","Number","6"
"NRA03","National Route Length","2018","2018","26","Monaghan","-","All Carriage ways","Number","104"
"NRA03","National Route Length","2018","2018","26","Monaghan","01","Motorway","Number",""
"NRA03","National Route Length","2018","2018","26","Monaghan","03","Single","Number","88"
"NRA03","National Route Length","2018","2018","26","Monaghan","04","Two plus one","Number",""
"NRA03","National Route Length","2018","2018","26","Monaghan","05","Dual carriageway","Number","15"
"NRA03","National Route Length","2019","2019","-","All licensing authorities","-","All Carriage ways","Number","5309"
"NRA03","National Route Length","2019","2019","-","All licensing authorities","01","Motorway","Number","995"
"NRA03","National Route Length","2019","2019","-","All licensing authorities","03","Single","Number","4009"
"NRA03","National Route Length","2019","2019","-","All licensing authorities","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","-","All licensing authorities","05","Dual carriageway","Number","306"
"NRA03","National Route Length","2019","2019","01","Carlow","-","All Carriage ways","Number","78"
"NRA03","National Route Length","2019","2019","01","Carlow","01","Motorway","Number","24"
"NRA03","National Route Length","2019","2019","01","Carlow","03","Single","Number","54"
"NRA03","National Route Length","2019","2019","01","Carlow","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","01","Carlow","05","Dual carriageway","Number",""
"NRA03","National Route Length","2019","2019","02","Dublin","-","All Carriage ways","Number","139"
"NRA03","National Route Length","2019","2019","02","Dublin","01","Motorway","Number","82"
"NRA03","National Route Length","2019","2019","02","Dublin","03","Single","Number","16"
"NRA03","National Route Length","2019","2019","02","Dublin","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","02","Dublin","05","Dual carriageway","Number","41"
"NRA03","National Route Length","2019","2019","03","Kildare","-","All Carriage ways","Number","134"
"NRA03","National Route Length","2019","2019","03","Kildare","01","Motorway","Number","108"
"NRA03","National Route Length","2019","2019","03","Kildare","03","Single","Number","17"
"NRA03","National Route Length","2019","2019","03","Kildare","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","03","Kildare","05","Dual carriageway","Number","8"
"NRA03","National Route Length","2019","2019","04","Kilkenny","-","All Carriage ways","Number","192"
"NRA03","National Route Length","2019","2019","04","Kilkenny","01","Motorway","Number","68"
"NRA03","National Route Length","2019","2019","04","Kilkenny","03","Single","Number","108"
"NRA03","National Route Length","2019","2019","04","Kilkenny","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","04","Kilkenny","05","Dual carriageway","Number","17"
"NRA03","National Route Length","2019","2019","05","Laois","-","All Carriage ways","Number","168"
"NRA03","National Route Length","2019","2019","05","Laois","01","Motorway","Number","67"
"NRA03","National Route Length","2019","2019","05","Laois","03","Single","Number","101"
"NRA03","National Route Length","2019","2019","05","Laois","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","05","Laois","05","Dual carriageway","Number",""
"NRA03","National Route Length","2019","2019","06","Longford","-","All Carriage ways","Number","97"
"NRA03","National Route Length","2019","2019","06","Longford","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","06","Longford","03","Single","Number","97"
"NRA03","National Route Length","2019","2019","06","Longford","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","06","Longford","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2019","2019","07","Louth","-","All Carriage ways","Number","98"
"NRA03","National Route Length","2019","2019","07","Louth","01","Motorway","Number","40"
"NRA03","National Route Length","2019","2019","07","Louth","03","Single","Number","49"
"NRA03","National Route Length","2019","2019","07","Louth","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","07","Louth","05","Dual carriageway","Number","9"
"NRA03","National Route Length","2019","2019","08","Meath","-","All Carriage ways","Number","204"
"NRA03","National Route Length","2019","2019","08","Meath","01","Motorway","Number","88"
"NRA03","National Route Length","2019","2019","08","Meath","03","Single","Number","104"
"NRA03","National Route Length","2019","2019","08","Meath","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","08","Meath","05","Dual carriageway","Number","12"
"NRA03","National Route Length","2019","2019","09","Offaly","-","All Carriage ways","Number","116"
"NRA03","National Route Length","2019","2019","09","Offaly","01","Motorway","Number","15"
"NRA03","National Route Length","2019","2019","09","Offaly","03","Single","Number","101"
"NRA03","National Route Length","2019","2019","09","Offaly","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","09","Offaly","05","Dual carriageway","Number",""
"NRA03","National Route Length","2019","2019","10","Westmeath","-","All Carriage ways","Number","175"
"NRA03","National Route Length","2019","2019","10","Westmeath","01","Motorway","Number","56"
"NRA03","National Route Length","2019","2019","10","Westmeath","03","Single","Number","101"
"NRA03","National Route Length","2019","2019","10","Westmeath","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","10","Westmeath","05","Dual carriageway","Number","18"
"NRA03","National Route Length","2019","2019","11","Wexford","-","All Carriage ways","Number","166"
"NRA03","National Route Length","2019","2019","11","Wexford","01","Motorway","Number","47"
"NRA03","National Route Length","2019","2019","11","Wexford","03","Single","Number","114"
"NRA03","National Route Length","2019","2019","11","Wexford","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","11","Wexford","05","Dual carriageway","Number","4"
"NRA03","National Route Length","2019","2019","12","Wicklow","-","All Carriage ways","Number","94"
"NRA03","National Route Length","2019","2019","12","Wicklow","01","Motorway","Number","36"
"NRA03","National Route Length","2019","2019","12","Wicklow","03","Single","Number","40"
"NRA03","National Route Length","2019","2019","12","Wicklow","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","12","Wicklow","05","Dual carriageway","Number","18"
"NRA03","National Route Length","2019","2019","13","Clare","-","All Carriage ways","Number","233"
"NRA03","National Route Length","2019","2019","13","Clare","01","Motorway","Number","32"
"NRA03","National Route Length","2019","2019","13","Clare","03","Single","Number","182"
"NRA03","National Route Length","2019","2019","13","Clare","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","13","Clare","05","Dual carriageway","Number","20"
"NRA03","National Route Length","2019","2019","14","Cork","-","All Carriage ways","Number","520"
"NRA03","National Route Length","2019","2019","14","Cork","01","Motorway","Number","49"
"NRA03","National Route Length","2019","2019","14","Cork","03","Single","Number","408"
"NRA03","National Route Length","2019","2019","14","Cork","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","14","Cork","05","Dual carriageway","Number","63"
"NRA03","National Route Length","2019","2019","15","Kerry","-","All Carriage ways","Number","425"
"NRA03","National Route Length","2019","2019","15","Kerry","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","15","Kerry","03","Single","Number","414"
"NRA03","National Route Length","2019","2019","15","Kerry","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","15","Kerry","05","Dual carriageway","Number","11"
"NRA03","National Route Length","2019","2019","16","Limerick","-","All Carriage ways","Number","192"
"NRA03","National Route Length","2019","2019","16","Limerick","01","Motorway","Number","27"
"NRA03","National Route Length","2019","2019","16","Limerick","03","Single","Number","156"
"NRA03","National Route Length","2019","2019","16","Limerick","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","16","Limerick","05","Dual carriageway","Number","9"
"NRA03","National Route Length","2019","2019","17","Tipperary","-","All Carriage ways","Number","336"
"NRA03","National Route Length","2019","2019","17","Tipperary","01","Motorway","Number","122"
"NRA03","National Route Length","2019","2019","17","Tipperary","03","Single","Number","210"
"NRA03","National Route Length","2019","2019","17","Tipperary","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","17","Tipperary","05","Dual carriageway","Number","3"
"NRA03","National Route Length","2019","2019","18","Waterford","-","All Carriage ways","Number","107"
"NRA03","National Route Length","2019","2019","18","Waterford","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","18","Waterford","03","Single","Number","97"
"NRA03","National Route Length","2019","2019","18","Waterford","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","18","Waterford","05","Dual carriageway","Number","10"
"NRA03","National Route Length","2019","2019","19","Galway","-","All Carriage ways","Number","449"
"NRA03","National Route Length","2019","2019","19","Galway","01","Motorway","Number","114"
"NRA03","National Route Length","2019","2019","19","Galway","03","Single","Number","315"
"NRA03","National Route Length","2019","2019","19","Galway","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","19","Galway","05","Dual carriageway","Number","20"
"NRA03","National Route Length","2019","2019","20","Leitrim","-","All Carriage ways","Number","56"
"NRA03","National Route Length","2019","2019","20","Leitrim","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","20","Leitrim","03","Single","Number","49"
"NRA03","National Route Length","2019","2019","20","Leitrim","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","20","Leitrim","05","Dual carriageway","Number","7"
"NRA03","National Route Length","2019","2019","21","Mayo","-","All Carriage ways","Number","397"
"NRA03","National Route Length","2019","2019","21","Mayo","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","21","Mayo","03","Single","Number","397"
"NRA03","National Route Length","2019","2019","21","Mayo","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","21","Mayo","05","Dual carriageway","Number",""
"NRA03","National Route Length","2019","2019","22","Roscommon","-","All Carriage ways","Number","247"
"NRA03","National Route Length","2019","2019","22","Roscommon","01","Motorway","Number","21"
"NRA03","National Route Length","2019","2019","22","Roscommon","03","Single","Number","225"
"NRA03","National Route Length","2019","2019","22","Roscommon","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","22","Roscommon","05","Dual carriageway","Number","1"
"NRA03","National Route Length","2019","2019","23","Sligo","-","All Carriage ways","Number","153"
"NRA03","National Route Length","2019","2019","23","Sligo","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","23","Sligo","03","Single","Number","141"
"NRA03","National Route Length","2019","2019","23","Sligo","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","23","Sligo","05","Dual carriageway","Number","13"
"NRA03","National Route Length","2019","2019","24","Cavan","-","All Carriage ways","Number","123"
"NRA03","National Route Length","2019","2019","24","Cavan","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","24","Cavan","03","Single","Number","123"
"NRA03","National Route Length","2019","2019","24","Cavan","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","24","Cavan","05","Dual carriageway","Number",""
"NRA03","National Route Length","2019","2019","25","Donegal","-","All Carriage ways","Number","303"
"NRA03","National Route Length","2019","2019","25","Donegal","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","25","Donegal","03","Single","Number","298"
"NRA03","National Route Length","2019","2019","25","Donegal","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","25","Donegal","05","Dual carriageway","Number","6"
"NRA03","National Route Length","2019","2019","26","Monaghan","-","All Carriage ways","Number","105"
"NRA03","National Route Length","2019","2019","26","Monaghan","01","Motorway","Number",""
"NRA03","National Route Length","2019","2019","26","Monaghan","03","Single","Number","90"
"NRA03","National Route Length","2019","2019","26","Monaghan","04","Two plus one","Number",""
"NRA03","National Route Length","2019","2019","26","Monaghan","05","Dual carriageway","Number","15"
"NRA03","National Route Length","2020","2020","-","All licensing authorities","-","All Carriage ways","Number","5309"
"NRA03","National Route Length","2020","2020","-","All licensing authorities","01","Motorway","Number","995"
"NRA03","National Route Length","2020","2020","-","All licensing authorities","03","Single","Number","4009"
"NRA03","National Route Length","2020","2020","-","All licensing authorities","04","Two plus one","Number",""
"NRA03","National Route Length","2020","2020","-","All licensing authorities","05","Dual carriageway","Number","306"
"NRA03","National Route Length","2020","2020","01","Carlow","-","All Carriage ways","Number","78"
"NRA03","National Route Length","2020","2020","01","Carlow","01","Motorway","Number","24"
"NRA03","National Route Length","2020","2020","01","Carlow","03","Single","Number","54"
"NRA03","National Route Length","2020","2020","01","Carlow","04","Two plus one","Number",""
"NRA03","National Route Length","2020","2020","01","Carlow","05","Dual carriageway","Number",""
"NRA03","National Route Length","2020","2020","02","Dublin","-","All Carriage ways","Number","139"
"NRA03","National Route Length","2020","2020","02","Dublin","01","Motorway","Number","82"
"NRA03","National Route Length","2020","2020","02","Dublin","03","Single","Number","16"
"NRA03","National Route Length","2020","2020","02","Dublin","04","Two plus one","Number",""
"NRA03","National Route Length","2020","2020","02","Dublin","05","Dual carriageway","Number","41"
"NRA03","National Route Length","2020","2020","03","Kildare","-","All Carriage ways","Number","134"
"NRA03","National Route Length","2020","2020","03","Kildare","01","Motorway","Number","108"
"NRA03","National Route Length","2020","2020","03","Kildare","03","Single","Number","17"
"NRA03","National Route Length","2020","2020","03","Kildare","04","Two plus one","Number",""
"NRA03","National Route Length","2020","2020","03","Kildare","05","Dual carriageway","Number","8"
"NRA03","National Route Length","2020","2020","04","Kilkenny","-","All Carriage ways","Number","192"
"NRA03","National Route Length","2020","2020","04","Kilkenny","01","Motorway","Number","68"
"NRA03","National Route Length","2020","2020","04","Kilkenny","03","Single","Number","108"
"NRA03","National Route Length","2020","2020","04","Kilkenny","04","Two plus one","Number",""
"NRA03","National Route Length","2020","2020","04","Kilkenny","05","Dual carriageway","Number","17"
